feature type = k=10, feature = telephone, log-likelihood score = 3.95124, sense = phone
feature type = -1, feature = open, log-likelihood score = 0.69315, sense = phone
feature type = -1, feature = menswear, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = jewelry, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = shoe, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = million, log-likelihood score = 0.69315, sense = phone
feature type = -1, feature = camera, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = that, log-likelihood score = 0.69315, sense = phone
feature type = -1, feature = women's, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = romance, log-likelihood score = 0.69315, sense = phone
feature type = -1, feature = sun's, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = all, log-likelihood score = 0.69315, sense = phone
feature type = -1, feature = software, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = macintosh, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = crossed, log-likelihood score = 0.69315, sense = phone
feature type = -1, feature = amiga, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = spectrum, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = gm's, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = using, log-likelihood score = 0.69315, sense = phone
feature type = -1, feature = important, log-likelihood score = 0.69315, sense = phone
feature type = -1, feature = ziari, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = and, log-likelihood score = 0.69315, sense = phone
feature type = -1, feature = specialized, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = lexus, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = drink, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = at, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = corsica, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = credit, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = materials, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = with, log-likelihood score = 0.69315, sense = phone
feature type = -1, feature = transformers, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = exchange, log-likelihood score = 0.69315, sense = phone
feature type = -1, feature = clarion, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = machinery, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = denton, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = hospital, log-likelihood score = 0.69315, sense = phone
feature type = -1, feature = military, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = george, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = awaited, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = chemicals, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = polish, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = exclusive, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = clogged, log-likelihood score = 0.69315, sense = phone
feature type = -1, feature = lanterns, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = acquired, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = pw4000, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = sewing, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = 600, log-likelihood score = 0.69315, sense = phone
feature type = -1, feature = club, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = extending, log-likelihood score = 0.69315, sense = phone
feature type = -1, feature = business, log-likelihood score = 0.69315, sense = phone
feature type = -1, feature = asynchronous, log-likelihood score = 0.69315, sense = phone
feature type = -1, feature = coleco's, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = bit, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = zytel, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = another, log-likelihood score = 0.69315, sense = phone
feature type = -1, feature = rated, log-likelihood score = 0.69315, sense = phone
feature type = -1, feature = advertised, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = one, log-likelihood score = 0.69315, sense = phone
feature type = -1, feature = filter, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = 800, log-likelihood score = 0.69315, sense = phone
feature type = -1, feature = emergency, log-likelihood score = 0.69315, sense = phone
feature type = -1, feature = priced, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = huge, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = marx, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = optometric, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = coffee, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = sex, log-likelihood score = 0.69315, sense = phone
feature type = -1, feature = {product}, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = fox, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = chat, log-likelihood score = 0.69315, sense = phone
feature type = -1, feature = ordinary, log-likelihood score = 0.69315, sense = phone
feature type = -1, feature = communications, log-likelihood score = 0.69315, sense = phone
feature type = -1, feature = 3x, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = future, log-likelihood score = 0.69315, sense = product
feature type = -1, feature = no, log-likelihood score = 0.69315, sense = phone
feature type = -1, feature = lancome, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = 5% access, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = establish the, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = the struggling, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = 000 new, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = range computer, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = the previous, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = the three, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = certain atlas, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = the furniture, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = the gab, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = telephone tip, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = keep the, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = residential telephone, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = the microprocessor, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = distance telephone, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = non food, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = rail intermodal, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = or dedicated, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = between car, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = more complete, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = luxury car, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = switched the, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = jaclyn smith, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = up the, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = largest telephone, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = frozen food, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = expand their, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = as 24, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = corp 's, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = and r1, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = megaquest's bisexual, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = york telephone, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = free complaint, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = and truck, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = its integrated, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = the new, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = a popular, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = necessary telephone, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = company's diagnostics, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = toll free, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = of several, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = their trading, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = apparel company's, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = volume car, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = phone whose, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = create a, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = popular car, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = and telephone, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = open radio, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = acquired food, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = building the, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = you the, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = while such, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = an unsecured, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = dedicated private, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = from older, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = its carleton, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = see the, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = brands' other, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = pay subscriber, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = montana fragrance, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = ibm pc, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = four telephone, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = hullo the, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = out a, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = a dead, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = its aerospace, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = sellers in, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = gm 10, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = the apparel, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = that those, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = $5 billion, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = produces a, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = nabisco's cereal, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = the company's, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = provide: gab, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = tried a, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = new perfume, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = the earthquake, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = 900 telephone, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = the jeep, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = 1988 model, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = briefs: a, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = current car, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = seeking torpedo, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = ibm's lastest, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = and marketing, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = much broader, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = source's latest, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = the other, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = 000 access, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = adult diaper, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = mostly older, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = most product, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = florida these, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = grand prix, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = 's ps/2, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = from his, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = its full, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = clogged the, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = dozen telephone, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = on your, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = direct trading, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = and cougar, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = in subscriber, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = and cracker, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = dropping the, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = residents whose, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = calif gab, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = 700 access, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = other gab, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = hollywood's dreamboat, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = say the, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = keep a, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = patch kids, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = excavation equipment, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = american tire, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = keep this, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = lost the, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = $1 69, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = an open, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = midrange product, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = complete menswear, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = care products, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = of jewelry, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = athletic shoe, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = 10 million, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = 600 camera, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = on that, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = dedicated telephone, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = the women's, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = said access, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = of telephone, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = 32 computer, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = a full, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = and romance, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = produce a, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = installed trading, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = of sun's, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = edmonton the, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = but all, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = call party, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = choice software, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = some private, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = 's macintosh, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = mirage car, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = to crossed, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = its amiga, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = the spectrum, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = by direct, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = time gm's, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = for using, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = customer access, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = ii computer, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = its computer, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = its old, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = for the, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = another telephone, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = most important, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = 's ziari, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = hardware and, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = 50 000, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = running gab, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = manufacture a, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = market a, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = the information, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = other marketing, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = a specialized, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = broaden its, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = luxury lexus, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = upscale car, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = through telephone, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = because its, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = for direct, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = soft drink, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = of access, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = just at, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = office equipment, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = the old, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = chevrolet corsica, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = the credit, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = building materials, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = including telephone, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = business with, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = and the, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = poorest telephone, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = specialty food, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = ibm ps/2, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = read the, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = and transformers, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = foreign exchange, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = would his, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = and clarion, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = agricultural machinery, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = all its, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = for some, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = under the, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = secure telephone, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = more telephone, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = dr denton, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = have a, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = the hospital, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = lucrative military, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = of his, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = by george, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = markets a, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = long awaited, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = basic chemicals, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = nail polish, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = number the, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = million access, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = hello the, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = its microprocessor, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = an exclusive, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = 442 000, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = its car, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = products a, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = says clogged, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = telephone the, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = main computer, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = oh lanterns, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = the acquired, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = 375 the, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = pratt's pw4000, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = consumer information, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = shedding some, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = sentence the, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = many private, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = personal computer, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = its sewing, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = 3 600, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = health club, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = that extending, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = time business, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = or asynchronous, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = of coleco's, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = drilling bit, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = its zytel, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = on another, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = their telephone, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = x rated, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = nationally advertised, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = with a, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = station the, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = on one, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = initial filter, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = 1 800, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = three telephone, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = company's car, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = its vax, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = for a, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = digital's vax, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = 911 emergency, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = reasonably priced, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = new product, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = already huge, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = nothing the, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = schaffner marx, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = with the, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = existing product, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = the subscriber, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = the optometric, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = ground coffee, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = and a, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = in sex, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = the {product}, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = level fox, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = a chat, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = over ordinary, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = business telephone, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = renting communications, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = sturdy 3x, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = testing a, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = the tip, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = some future, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = is no, log-likelihood score = 0.69315, sense = phone
feature type = -2 & -1, feature = a car, log-likelihood score = 0.69315, sense = product
feature type = -2 & -1, feature = 's lancome, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = growth in, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = as the, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = was scrapped, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = to current, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = and its, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = at more, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = is a, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = and properties, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = to order, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = could fetch, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = have been, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = that has, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = busy for, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = increased 2, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = that link, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = which consists, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = mr hoglund, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = of mammography, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = making a, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = and spread, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = may not, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = and so, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = in 1985, log-likelihood score = 0.69315, sense = product
